iter	MAE
736	571231.8563
737	571042.7657
738	570871.5882
739	570794.943
740	570674.8202
741	570531.2106
742	570358.8369
743	570277.5582
744	570153.4254
745	569886.4041
746	569663.9952
747	569517.3701
748	569276.7665
749	569152.7527
750	568961.9339
751	568873.2378
752	568759.6727
753	568634.244
754	568490.6185
755	568215.3964
756	568135.754
757	567969.2272
758	567772.6369
759	567711.7293
760	567521.0321
761	567383.3575
762	567049.1334
763	566807.5869
764	566696.612
765	566578.9517
766	566474.5446
767	566373.7086
768	566073.116
769	565938.7136
770	565853.5933
771	565813.0908
772	565635.8929
773	565461.1523
774	565261.9431
775	565155.4411
776	565097.528
777	564966.2009
778	564805.7734
779	564723.8953
780	564522.8084
781	564403.3487
782	564269.7326
783	564131.5746
784	564004.1885
785	563943.1558
786	563868.4692
787	563720.2814
788	563655.6635
789	563500.6884
790	563320.6945
791	563167.5963
792	563058.0494
793	562964.5336
794	562875.2192
795	562687.9493
796	562572.3557
797	562438.6493
798	562256.867
799	562067.0628
800	561904.8834
801	561813.1903
802	561601.4124
803	561273.563
804	561095.9627
805	561003.7448
806	560927.2397
807	560658.1784
808	560560.8168
809	560473.3788
810	560277.5356
811	560147.0741
812	560032.5748
813	559896.7823
814	559833.3287
815	559597.7752
816	559505.7349
817	559358.1004
818	559159.4458
819	559064.1596
820	558899.3154
821	558810.9896
822	558707.6891
823	558461.1237
824	558309.4641
825	558158.9143
826	558110.8617
827	557991.1829
828	557892.6993
829	557721.2212
830	557623.1381
831	557468.5954
832	557293.889
833	557248.1905
834	557078.1667
835	557006.8323
836	556889.2481
837	556597.8453
838	556448.6895
839	556366.7004
840	556273.3623
841	556121.943
842	555964.791
843	555876.8033
844	555811.8574
845	555648.9456
846	555564.4786
847	555481.18
848	555394.9786
849	555321.54
850	555232.4459
851	555147.6474
852	554942.7919
853	554855.196
854	554813.8189
855	554671.7521
856	554531.0464
857	554458.9634
858	554341.4677
859	554170.1828
860	554078.0131
861	553918.5518
862	553840.1851
863	553670.3077
864	553564.4779
865	553511.7307
866	553367.7293
867	553297.332
868	553165.2146
869	553085.4188
870	552978.2262
871	552698.6185
872	552578.7434
873	552486.9599
874	552388.9819
875	552265.0398
876	552182.7544
877	552080.734
878	551979.1726
879	551922.9081
880	551777.3406
881	551644.7761
882	551536.9186
883	551373.9805
884	551256.7205
885	551184.5619
886	551009.5784
887	550802.7511
888	550708.1322
889	550598.2526
890	550573.5484
891	550410.9563
892	550326.5639
893	550259.1393
894	550221.4737
895	550103.6312
896	549997.9974
897	549921.5562
898	549796.3874
899	549554.91
900	549467.3743
901	549319.3896
902	549117.0311
903	549031.8496
904	548910.0147
905	548841.5581
906	548746.8154
907	548573.8827
908	548485.4917
909	548301.1791
910	548233.9727
911	548140.5548
912	548022.8
913	547915.3783
914	547816.8807
915	547629.1451
916	547540.8141
917	547374.5576
918	547282.4482
919	547084.0133
920	546944.5659
921	546719.7009
922	546486.278
923	546326.7056
924	546104.584
925	546018.556
926	545942.9423
927	545788.8657
928	545695.1237
929	545526.7181
930	545396.1478
931	545269.7569
932	545166.6373
933	545117.5195
934	545022.2868
935	544839.7808
936	544773.4162
937	544679.5777
938	544481.8586
939	544370.0679
940	544196.2492
941	544129.3161
942	544043.0504
943	543932.3644
944	543848.9988
945	543694.8646
946	543549.7277
947	543438.636
948	543356.8695
949	543281.9932
950	543240.1788
951	543148.5738
952	543054.9837
953	543008.5541
954	542823.6945
955	542719.216
956	542591.321
957	542460.1476
958	542222.5365
959	542182.9601
960	542078.3983
961	541830.8691
962	541630.9139
963	541565.9765
964	541461.6554
965	541386.044
966	541084.7801
967	540910.9124
968	540772.9932
969	540705.0212
970	540423.7038
971	540259.7564
972	540134.942
973	540006.9004
974	539924.9543
975	539827.3156
976	539726.393
977	539598.2124
978	539418.2579
979	539217.7299
980	539084.8544
981	539004.4198
982	538868.0744
983	538743.5061
984	538574.9873
985	538428.6745
986	538312.4086
987	538169.9952
988	538011.5499
989	537912.1027
990	537795.8824
991	537655.7633
992	537547.8419
993	537451.5967
994	537214.089
995	537121.9764
996	537013.7144
997	536918.7642
998	536794.5091
999	536757.5647
	998	53999	53999	999	533091.4005
